RO # ,DATE MADE ,SHOP NAME ,PART # ,SERIAL # ,PART DESCRIPTION ,REQ WORK ,DATE DROPPED OFF ,ESTIMATED COST ,FINAL COST ,TERMS ,SHOP REF # ,ESTIMATED DELIVERY DATE ,CURENT STATUS ,CURENT STATUS DATE ,GENTHRUST STATUS ,SHOP STATUS ,TRACKING NUMBER / PICKING UP ,NOTES ,LAST DATE UPDATED ,NEXT DATE TO UPDATE ,Checked
35556,10/27/2025,ILLUMINAIR SUPPORT,H911A,2495,LINEAR TRASDUCER,TEST,,,,NET 30,,,WAITING QUOTE ,10/27/2025,,,,,10/27/2025,11/10/2025,
37860,7/15/2024,WORLD INNOVATIONS SUPPORT ,699647B,1148,CSD,OH / MOD TO C ,7/15/2024,,,COD,,,WAITING QUOTE ,10/30/2025,,,,sent email,10/30/2025,11/13/2025,Yes
38109,1/22/2025,WORLD INNOVATIONS SUPPORT ,680640-4,NSN,ACM ,,,,,COD,,,WAITING QUOTE ,1/22/2025,PL SIGNED 1/22/25,,,,10/2/2025,10/16/2025,No
38122,1/28/2025,PACIFIC AEROSPCACE ,285N0011-40,D01740,FLAP SLAT ELECTRIC ,,,,,COD,,10/25/2025,WAITING QUOTE ,10/25/2025,,DELIVERED TO FACILITY 2/3/25,,,10/25/2025,11/7/2025,yes
38135,2/3/2025,WORLD INNOVATIONS SUPPORT ,10-60706-8,99193,VALVE,,,,,COD,,,WAITING QUOTE ,2/3/2025,PL SIGNED 2/18/25,,,,10/2/2025,10/16/2025,No
38138,2/5/2025,WORLD INNOVATIONS SUPPORT ,3608000-1,P-465C,FUEL CONTROL,,,,,COD,,,WAITING QUOTE ,2/5/2025,PL SIGNED 2/18/25,,,,10/2/2025,10/16/2025,No
38189,3/4/2025,WORLD INNOVATIONS SUPPORT ,727792K,A0725,INTEGRATED DRIVE GEN ,RP,SHIPPING,,,COD,,,WAITING QUOTE ,3/6/2025,,,,,10/2/2025,10/16/2025,No
38198,3/4/2025,WORLD INNOVATIONS SUPPORT ,398908-5,P-4155,CONTROL VALVE ,OH,SHIPPING,,,COD,,,WAITING QUOTE ,3/6/2025,,,,,10/2/2025,10/16/2025,No
38207,3/11/2025,WORLD INNOVATIONS SUPPORT ,519858-8,14-634C,STARTER APU ,OH,SHIPPING,,,COD,,,WAITING QUOTE ,3/12/2025,PL SIGNED 3/12/25,,,,10/2/2025,10/16/2025,No
38212,3/13/2025,WORLD INNOVATIONS SUPPORT ,398908-5,8961,TEMP CONTROL VALVE ,OH,SHIPPING,,,COD,,,WAITING QUOTE ,,,,,,10/2/2025,10/16/2025,No
38213,3/13/2025,WORLD INNOVATIONS SUPPORT ,398908-5,3506,TEMP CONTROL VALVE ,OH,SHIPPING,,,COD,,,WAITING QUOTE ,,,,,,10/2/2025,10/16/2025,No
38302,5/1/2025,WORLD INNOVATIONS SUPPORT ,350880-6,MX259414,HYDRALIC PUMP ,OH,,,,COD,,,WAITING QUOTE ,5/1/2025,,,,,10/2/2025,10/16/2025,No
38304,5/7/2025,SOUTHWINGS AVIONICS,979806-12,166C,SURGE VALVE ,OH,5/7/2025,,,NET 30,,,WAITING QUOTE ,11/5/2025,,,,email sent,11/5/2025,11/19/2025,yes
38309,5/12/2025,SUNSHINE AVIONICS ,622-8780-103,549,PANEL,TEST & SV ,5/15/2025,"$6,433.46",,COD,.0081813.,,APPROVED >>>>,10/3/2025,NEED TO PICK UP ,,,,10/3/2025,10/17/2025,yes
38321,5/20/2025,ALTIMA TECHNOLOGIES ,47649,1072,IGNITION EXCITER,TEST & SV ,5/22/2025,"$4,516.00",,NET 30,10072613,,APPROVED >>>>,7/25/2025,,,,,7/25/2025,8/8/2025,
38322,5/27/2025,EASTERN AERO MARINE ,R0425A303,TAD6A004C,TA6 RAFT ,OH,,,,COD,,,TO SEND ,11/5/2025,DROPPED OFF,,,,11/5/2025,11/19/2025,yes
38327,5/30/2025,LIVE AEROSPACE,AD-4579,504035,BATTERY,OH,,"$1,100.00",,NET 30,7348,,APPROVED >>>>,10/30/2025,,,,ON HOLD TILL NEEDED,10/30/2025,11/13/2025,yes
38328,5/30/2025,LIVE AEROSPACE,4579,.905200063649.,BATTERY,OH,,"$1,100.00",,NET 30,7349,,APPROVED >>>>,10/30/2025,,,,ON HOLD TILL NEEDED,10/30/2025,11/13/2025,yes
38349,6/10/2025,ILLUMINAIR SUPPORT ,3601-58-1050/650/2,202573,DETECTOR ASSY,TEST & SV ,,,,NET 30,,,APPROVED >>>>,10/30/2025,,SHOULD BE READY NEXT WEEK ,,,10/30/2025,11/13/2025,yes
38353,6/10/2025,WORLD INNOVATIONS SUPPORT ,55098-08,115999K,HYD PUMP,OH,,,,COD,,,WAITING QUOTE ,6/10/2025,,,,,10/2/2025,10/16/2025,No
38367,6/20/2025,WORLD INNOVATIONS SUPPORT ,398908-5,3506,TEMP CONTROL VALVE ,OH,,,,COD,,,WAITING QUOTE ,7/21/2025,,,,,10/2/2025,10/16/2025,No
38368,6/20/2025,WORLD INNOVATIONS SUPPORT ,398908-5,3692,TEMP CONTROL VALVE ,OH,,,,COD,,,WAITING QUOTE ,6/20/2025,,,,,10/2/2025,10/16/2025,No
38381,7/30/2025,AERO INSTRUMENTS ,624066-5,072C-2332,WINDOW HEAT CONTROL,RP,,"$1,456.00",,COD,W559275,,APPROVED >>>>,8/7/2025,,,,,8/11/2025,8/25/2025,
38383,7/31/2025,WORLD INNOVATIONS SUPPORT ,129626-5,1047,FAN AIR TEMP SENSOR,RP,,,,COD,,,WAITING QUOTE ,7/31/2025,,,,,10/2/2025,10/16/2025,No
38385,8/4/2025,AVI NDT ,3-1428,0893 / 0893,MAIN WHEEL ,OH,8/4/2025,,,NET 30,,,WAITING QUOTE ,8/4/2025,,,,,8/4/2025,8/18/2025,
38386,8/4/2025,AVI NDT ,2-1457-2,6220,BRAKE ASSY ,OH,8/4/2025,,,NET 30,,,WAITING QUOTE ,8/4/2025,,,,,8/4/2025,8/18/2025,
38389,8/4/2025,MED CRAFT ,3214488-7,951,PERSOV ,RP,8/4/2025,,,COD,,,WAITING QUOTE ,8/4/2025,,,,,8/4/2025,8/18/2025,
38390,8/4/2025,MED CRAFT ,3399004-9,1017C,PILOT 14TH STAGE,RP,8/4/2025,,,COD,,,WAITING QUOTE ,8/4/2025,,,,,8/4/2025,8/18/2025,
38391,8/4/2025,ILLUMINAIR SUPPORT ,431032-2,S10160102,IGNITION LEAD ,RP,,,,COD,,,WAITING QUOTE ,8/4/2025,,,,,8/4/2025,8/18/2025,
38392,8/4/2025,MT AERO ,3800298-1-6,P-2199,APU,RP,,,,NET 30,,,WAITING QUOTE ,8/4/2025,,,,,8/4/2025,8/18/2025,
38394,8/4/2025,AVIATION POWER SUPPORT ,3800298-1-X,P-1608,APU,RP,,"$169,545.00",,WIRE XFER,,,APPROVED >>>>,10/8/2025,,,,,10/8/2025,10/22/2025,
38395,8/4/2025,WORLD INNOVATIONS SUPPORT ,,,,,,,,,,,PAID >>>>,8/4/2025,,,,,10/2/2025,10/16/2025,No
38396,8/8/2025,SENSOR LAB INC,3876048-3,13381U,SWITCH APU ,OH ,,,,COD ,,,WAITING QUOTE ,8/8/2025,,,,,8/8/2025,8/22/2025,
38399,8/18/2025,ICON AEROSPACE,CH53556,14084439,IGNITION CABLE ,RP,8/18/2025,,,CC FORM ,,,WAITING QUOTE ,8/18/2025,DELIVERED 8/20,,8836 6024 8066,,8/20/2025,9/3/2025,
38408,8/25/2025,NOBEL AEROSPACE,4-254-04,343B,BATTERY CHARGER,OH,,$950.00,,NET 30,8774,,APPROVED >>>>,9/26/2025,,,,,9/26/2025,10/10/2025,
38414,8/25/2025,NOBEL AEROSPACE,285T0035-11,D02803,POWER SUPPLY,OH,SHIPPING,,,NET 30,,,WAITING QUOTE ,8/26/2025,,,,,,1/13/1900,
38415,8/25/2025,AOG REACTION,624014-2,0620-5741,SENSOR PACK TEMP,BC ,SHIPPING,,,NET 30,271007,,APPROVED >>>>,10/3/2025,,,8838 6542 0066,,10/3/2025,10/17/2025,
38416,8/25/2025,SETNIX,3888076-33,162504,LEAD-ELEC IGNITER,OH,SHIPPING,$350.00,,NET 30,.024920.,10/14/2025,BEING REPAIRED,10/3/2025,,,8838 6565 3497,,10/10/2025,10/24/2025,Yes
38417,8/25/2025,SETNIX,3888058-5,9.90218E+11,IGNITION EXCITER,OH,SHIPPING,$350.00,,NET 30,.024920.,,SHIPPING,10/8/2025,,,8838 6565 3497,,10/8/2025,10/22/2025,Yes
38418,8/26/2025,FLORIDA AERO SYSTEMS,3-1423-2,1987/2201,NOSE WHEEL,OH,SHIPPING,,,NET 30,,,WAITING QUOTE ,8/26/2025,,,,,8/26/2025,9/9/2025,No
38419,8/26/2025,FLORIDA AERO SYSTEMS,3-1423-2,2843/1999,NOSE WHEEL,OH,SHIPPING,,,NET 30,,,WAITING QUOTE ,8/26/2025,,,,,8/26/2025,9/9/2025,No
38420,8/26/2025,FLORIDA AERO SYSTEMS,3-1471-2,0642/0642,MAIN WHEEL,OH,SHIPPING,,,NET 30,,,WAITING QUOTE ,8/26/2025,,,,,8/26/2025,9/9/2025,No
38421,8/26/2025,FLORIDA AERO SYSTEMS,3-1471-2,1051/1515P,WHEEL MAIN,OH,SHIPPING,,,NET 30,,,WAITING QUOTE ,8/26/2025,,,,,8/26/2025,9/9/2025,No
38422,8/26/2025,FLORIDA AERO SYSTEMS,3-1471-2,0523/1512P,WHEEL MAIN,OH,SHIPPING,,,NET 30,,,WAITING QUOTE ,8/26/2025,,,,,8/26/2025,9/9/2025,No
38426,8/27/2025,1ST CLASS AIR SERVICES,302215,WEFF222,CARLOT,OH,,,,NET 30,,,,,,,,,,1/13/1900,
38427,8/27/2025,SONICO,213N1103-21,NSN,DUCT,RP,SHIPPING,,,C.I.A,69221,,WAITING QUOTE ,9/24/2025,,,8839 0258 2250,,9/24/2025,10/8/2025,
38431,9/4/2025,WORLD INNOVATIONS SUPPORT,211C223-519,N021392C,HYD PRESSURE SWITCH,RP,,$350.00,"$2,200.00",NET 30,1645,,PAID >>>>,9/17/2025,,,,,10/2/2025,10/16/2025,No
38432,9/4/2025,WORLD INNOVATIONS SUPPORT,5840207-104,339,VALVE,RP,,,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,10/2/2025,10/16/2025,No
38433,9/4/2025,WORLD INNOVATIONS SUPPORT,129606-5,1376,FAN AIR TEMP SENSOR,RP,,,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,10/2/2025,10/16/2025,No
38434,9/4/2025,WORLD INNOVATIONS SUPPORT,519858-8,792132,STARTER APU ,OH,SHIPPING,,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,10/2/2025,10/16/2025,No
38435,9/4/2025,WORLD INNOVATIONS SUPPORT,383152-16-1,P-17167,STARTER APU ,OH,,"$2,300.00","$5,100.00",NET 30,25-155,,PAID >>>>,10/16/2025,,,,,10/16/2025,10/30/2025,yes
